time,subject,fuzzer,run,cov_type,cov
1761458833,lightftp,aflnet,2,l_per,53.2
1761458833,lightftp,aflnet,2,l_abs,600
1761458833,lightftp,aflnet,2,b_per,33.9
1761458833,lightftp,aflnet,2,b_abs,265
1761458854,lightftp,aflnet,2,l_per,53.3
1761458854,lightftp,aflnet,2,l_abs,601
1761458854,lightftp,aflnet,2,b_per,34.0
1761458854,lightftp,aflnet,2,b_abs,266
1761458899,lightftp,aflnet,2,l_per,53.3
1761458899,lightftp,aflnet,2,l_abs,601
1761458899,lightftp,aflnet,2,b_per,34.0
1761458899,lightftp,aflnet,2,b_abs,266
1761458987,lightftp,aflnet,2,l_per,53.9
1761458987,lightftp,aflnet,2,l_abs,608
1761458987,lightftp,aflnet,2,b_per,34.9
1761458987,lightftp,aflnet,2,b_abs,273
1761459032,lightftp,aflnet,2,l_per,54.5
1761459032,lightftp,aflnet,2,l_abs,615
1761459032,lightftp,aflnet,2,b_per,35.9
1761459032,lightftp,aflnet,2,b_abs,281
1761459118,lightftp,aflnet,2,l_per,54.7
1761459118,lightftp,aflnet,2,l_abs,617
1761459118,lightftp,aflnet,2,b_per,36.2
1761459118,lightftp,aflnet,2,b_abs,283
1761459172,lightftp,aflnet,2,l_per,55.0
1761459172,lightftp,aflnet,2,l_abs,620
1761459172,lightftp,aflnet,2,b_per,36.7
1761459172,lightftp,aflnet,2,b_abs,287
1761459236,lightftp,aflnet,2,l_per,55.2
1761459236,lightftp,aflnet,2,l_abs,623
1761459236,lightftp,aflnet,2,b_per,36.8
1761459236,lightftp,aflnet,2,b_abs,288
1761459309,lightftp,aflnet,2,l_per,56.6
1761459309,lightftp,aflnet,2,l_abs,639
1761459309,lightftp,aflnet,2,b_per,38.0
1761459309,lightftp,aflnet,2,b_abs,297
1761459404,lightftp,aflnet,2,l_per,56.6
1761459404,lightftp,aflnet,2,l_abs,639
1761459404,lightftp,aflnet,2,b_per,38.0
1761459404,lightftp,aflnet,2,b_abs,297
1761459453,lightftp,aflnet,2,l_per,56.9
1761459453,lightftp,aflnet,2,l_abs,642
1761459453,lightftp,aflnet,2,b_per,38.2
1761459453,lightftp,aflnet,2,b_abs,299
1761459541,lightftp,aflnet,2,l_per,57.2
1761459541,lightftp,aflnet,2,l_abs,645
1761459541,lightftp,aflnet,2,b_per,38.4
1761459541,lightftp,aflnet,2,b_abs,300
1761459643,lightftp,aflnet,2,l_per,57.2
1761459643,lightftp,aflnet,2,l_abs,645
1761459643,lightftp,aflnet,2,b_per,38.5
